id,title,artist,year,genre,style,sample
88,Dolly My Baby (Bad Boy Extended Mix),"Super Cat and Mary J. Blige feat. The Notorious B.I.G., Puff Daddy and 3rd Eye",1993,Reggae / Dub,Drums,https://www.whosampled.com/Mountain/Long-Red/
89,Know No Better,Meek Mill feat. Yo Gotti,2014,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
90,Lifestyles of the Rich & Shameless,Lost Boyz,1995,Hip-Hop / Rap / R&B,Drums,https://www.whosampled.com/Mountain/Long-Red/
91,I'm Better,Missy Elliott feat. Cainon Lamb,2017,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
92,The Ultimate,Artifacts,1997,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
93,Ruffneck,Freestylers feat. Navigator,1998,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
94,My Melody (Original Mix),Eric B. feat. Rakim,1986,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
95,Glamour and Glitz,A Tribe Called Quest,1995,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
96,Witch Doctor,Hopsin,2017,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
97,Stop Cryin',50 Cent,2011,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
98,Walking in My Shoes (Grungy Gonads Mix),Depeche Mode,1993,Electronic / Dance,Drums,https://www.whosampled.com/Mountain/Long-Red/
99,Money ($ / * ...),Mariah Carey feat. Fabolous,2014,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
100,Get Funky (Remix),The Beatnuts,1994,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
101,Playtime,Khalil feat. Justin Bieber,2014,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
102,Save Me Dear,Ghostface Killah,2004,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
103,Peso,Machine Gun Kelly feat. Pusha T and Meek Mill,2013,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
104,Black Swan,"Statik Selektah feat. Nitty Scott, MC and Rapsody",2011,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
105,A Better Day,Ill Biskits,1996,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
106,Ghettos of the Mind,Pete Rock & C.L. Smooth,1992,Hip-Hop / Rap / R&B,Drums,https://www.whosampled.com/Mountain/Long-Red/
107,True to Rap (Remix),Da' Enna C.,1994,Hip-Hop / Rap / R&B,Drums,https://www.whosampled.com/Mountain/Long-Red/
108,Rock You Again (Again & Again),Whodini,1987,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
109,Sexual Healing (Oops Pt. 2),Tweet feat. Ms. Jade,2002,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
110,Beat the Case / / / Straight Crooked,Ab-Soul feat. ScHoolboy Q,2016,Hip-Hop / Rap / R&B,Multiple Elements,https://www.whosampled.com/Mountain/Long-Red/
111,I Wonder Why,Rick Ross,2013,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
112,Combat Jazz,Limp Bizkit feat. Raekwon,2011,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
113,Stand by Your Man (Hip Hop Mix 2),LL Cool J,1993,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
114,Mixed Messages,Big K.R.I.T.,2017,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
115,When All Light Dies,Jedi Mind Tricks,2006,Hip-Hop / Rap / R&B,Drums,https://www.whosampled.com/Mountain/Long-Red/
116,True,Freeway feat. Wale,2012,Hip-Hop / Rap / R&B,Multiple Elements,https://www.whosampled.com/Mountain/Long-Red/
117,Get Back,Disco Twins and Starchild,1986,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
118,Punkmotherfukaz,Onyx,1995,Hip-Hop / Rap / R&B,Drums,https://www.whosampled.com/Mountain/Long-Red/
119,Bird's Eye View,Xzibit feat. Tash and J-Ro,1996,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
120,I'm a African,Dead Prez,2000,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
121,Believe Me,Rapsody,2012,Hip-Hop / Rap / R&B,Multiple Elements,https://www.whosampled.com/Mountain/Long-Red/
122,Sick Thoughts,Grav,1996,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
123,Lenguaje Roto,Dano feat. Elio Toffana,2019,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
124,BaDINGA!,TWRK,2013,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
125,What's Next on the Menu,Pete Rock & C.L. Smooth,1993,Hip-Hop / Rap / R&B,Drums,https://www.whosampled.com/Mountain/Long-Red/
126,Fear of a Black Planet,Public Enemy,1990,Hip-Hop / Rap / R&B,Drums,https://www.whosampled.com/Mountain/Long-Red/
127,The Medicine,Planet Asia,2006,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
128,Make Money,French Montana and Chinx Drugz,2012,Hip-Hop / Rap / R&B,Multiple Elements,https://www.whosampled.com/Mountain/Long-Red/
129,A Madman's Dream,The East Flatbush Project,1994,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
130,Feel the High Pt. II,Finsta Bundy,1997,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
131,Heute Nacht,Torch feat. Boulevard Bou,2000,Hip-Hop / Rap / R&B,Multiple Elements,https://www.whosampled.com/Mountain/Long-Red/
132,Nature Calling,四街道ネイチャー,1998,Hip-Hop / Rap / R&B,Drums,https://www.whosampled.com/Mountain/Long-Red/
133,Triple R,Nuff Ruffness,1993,Hip-Hop / Rap / R&B,Drums,https://www.whosampled.com/Mountain/Long-Red/
134,Sober Thoughts (Lido's Forgotten Sunday Service),GoldLink,2016,Electronic / Dance,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
135,The Birth,Ice Cube feat. Khalid Muhammad,1991,Hip-Hop / Rap / R&B,Drums,https://www.whosampled.com/Mountain/Long-Red/
136,Home T.E.A.M.,"Troy Ave feat. Action Bronson, Maffew Ragazino and Mr. Muthafuckin' eXquire",2012,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
137,100 Keep It,"V. Don feat. Smoke DZA, Bodega Bamz and Willie the Kid",2013,Hip-Hop / Rap / R&B,Multiple Elements,https://www.whosampled.com/Mountain/Long-Red/
138,The Day It All Changed,G-EAZY,2014,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
139,Waaaaaa,DJ Premier,2008,Hip-Hop / Rap / R&B,Drums,https://www.whosampled.com/Mountain/Long-Red/
140,Right Now,"Meek Mill feat. French Montana, Mase and Cory Gunz",2013,Hip-Hop / Rap / R&B,Multiple Elements,https://www.whosampled.com/Mountain/Long-Red/
141,Carry the Tradition,Skyzoo and Pete Rock feat. Styles P,2019,Hip-Hop / Rap / R&B,Multiple Elements,https://www.whosampled.com/Mountain/Long-Red/
142,Lot to Learn,Luke Christopher,2015,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
143,Drug Dealer,Boogie Down Productions,1992,Hip-Hop / Rap / R&B,Multiple Elements,https://www.whosampled.com/Mountain/Long-Red/
144,D.I.R.T. (Another Boot Camp Clik Yeah Song),Heltah Skeltah,2008,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
145,The Specialist,Ali Vegas,1999,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
146,Get Down,Monica,1995,Hip-Hop / Rap / R&B,Drums,https://www.whosampled.com/Mountain/Long-Red/
147,Doctorin' the House,Coldcut feat. Yazz and The Plastic Population,1988,Rock / Pop,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
148,Here We Go Again,J Dilla,2014,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
149,? Vs. Rahzel,The Roots,1995,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
150,Monster,KB feat. Aha Gazelle,2017,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
151,Fingertips,J Dilla,1996,Hip-Hop / Rap / R&B,Drums,https://www.whosampled.com/Mountain/Long-Red/
152,Cadillac,Marteria,2017,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
153,"Justa ""Lil"" Dope",Masters at Work,1991,Electronic / Dance,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
154,Don't Understand,Kendrick Lamar,2011,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
155,CAT GIRLS ARE RUINING MY LIFE!,CORPSE,2020,Hip-Hop / Rap / R&B,Drums,https://www.whosampled.com/Mountain/Long-Red/
156,This Is Compton,Compton's Most Wanted,1990,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
157,"The Heist, Pt. 1",The Lox,1998,Hip-Hop / Rap / R&B,Multiple Elements,https://www.whosampled.com/Mountain/Long-Red/
158,You & I,Riky Rick feat. Mlindo the Vocalist,2019,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
159,Episode XIX,Madlib,2010,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
160,What Up King,Yaves feat. Young Joshua,2013,Hip-Hop / Rap / R&B,Multiple Elements,https://www.whosampled.com/Mountain/Long-Red/
161,Get Right,B.o.B feat. Mike Fresh,2014,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
