,title,artist,year,sample,genre,style
106,Ghettos of the Mind,Pete Rock & C.L. Smooth,1992,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Drums
107,True to Rap (Remix),Da' Enna C.,1994,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Drums
108,Rock You Again (Again & Again),Whodini,1987,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Vocals / Lyrics
109,Sexual Healing (Oops Pt. 2),Tweet feat. Ms. Jade,2002,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Vocals / Lyrics
110,Beat the Case / / / Straight Crooked,Ab-Soul feat. ScHoolboy Q,2016,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Multiple Elements
111,I Wonder Why,Rick Ross,2013,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Vocals / Lyrics
112,Combat Jazz,Limp Bizkit feat. Raekwon,2011,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Vocals / Lyrics
113,Stand by Your Man (Hip Hop Mix 2),LL Cool J,1993,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Vocals / Lyrics
114,Mixed Messages,Big K.R.I.T.,2017,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Vocals / Lyrics
115,When All Light Dies,Jedi Mind Tricks,2006,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Drums
116,True,Freeway feat. Wale,2012,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Multiple Elements
117,Get Back,Disco Twins and Starchild,1986,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Vocals / Lyrics
118,Punkmotherfukaz,Onyx,1995,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Drums
